measurement_noise,observation_fraction,n,accuracy,accuracy_ci_low,accuracy_ci_high,same_time_snapshot_accuracy,same_time_snapshot_ci_low,same_time_snapshot_ci_high,balanced_accuracy,auroc,auroc_ci_low,auroc_ci_high,same_time_snapshot_auroc,same_time_snapshot_auroc_ci_low,same_time_snapshot_auroc_ci_high,mean_macro_dice,macro_dice_ci_low,macro_dice_ci_high,mean_macro_dice_nonempty_classes,macro_dice_nonempty_classes_ci_low,macro_dice_nonempty_classes_ci_high,mean_nrmse,nrmse_ci_low,nrmse_ci_high,mean_same_time_snapshot_macro_dice,same_time_snapshot_macro_dice_ci_low,same_time_snapshot_macro_dice_ci_high,mean_same_time_snapshot_macro_dice_nonempty_classes,same_time_snapshot_macro_dice_nonempty_classes_ci_low,same_time_snapshot_macro_dice_nonempty_classes_ci_high,mean_same_time_snapshot_nrmse,same_time_snapshot_nrmse_ci_low,same_time_snapshot_nrmse_ci_high,mean_pixel_accuracy,median_correlation,median_correction_relative_error,median_coupling_absolute_error
0.1,0.15,160,0.8625,0.8125,0.9125,0.8875,0.8375,0.93125,0.8611632270168856,0.9565353345841151,0.9283123359870264,0.9793679511278195,0.9709193245778611,0.9496558106169297,0.9872953090096799,0.6724663736363146,0.6456501035781386,0.6996891755099823,0.6608836053787366,0.6360689477038407,0.686685908178259,0.2385017230431429,0.22639955881796844,0.2509272673325674,0.7387882058594546,0.7210621921038969,0.7578335930057499,0.6976344743184603,0.6830601311270672,0.7126771180126148,0.19813244467905075,0.19188028316042918,0.20423722297404534,0.7557209645669292,0.7336611271529973,0.8618601980669687,0.14406667562574677
0.1,0.2,160,0.91875,0.86875,0.95625,0.94375,0.90625,0.975,0.9182301438398999,0.9777986241400876,0.9566397925305116,0.9930728524783854,0.983739837398374,0.9680311151503562,0.9949992186279106,0.7067462920418939,0.6824843904682865,0.7331805993670013,0.6989681771226447,0.6746410382292023,0.7246907752286939,0.21182837357065934,0.20118503687600978,0.222316457982183,0.7593702029188383,0.7399736648184658,0.7783983232062481,0.72080179244915,0.7043367001274725,0.7376137182567686,0.1826455840183771,0.17505558353623005,0.18999379762503477,0.806373031496063,0.8166021436043844,0.8767139177147358,0.1687351129297318
0.1,0.3,160,0.95625,0.925,0.98125,0.95,0.9125,0.98125,0.956066291432145,0.9948405253283302,0.9875863873344571,0.9992182614133833,0.9962476547842402,0.9903109860915769,0.99953125,0.778865545015532,0.7521577503457582,0.8043140813196695,0.7738954177127854,0.7492331758836435,0.7992630102305229,0.16840190377595743,0.15981878440503675,0.17621778110163586,0.8164905922160297,0.7946441162461712,0.8373454741194033,0.7860743337077644,0.7646894327828386,0.8078406779075378,0.14884000061992977,0.1405529488036591,0.15720278472809485,0.8953371062992126,0.8845610004074907,0.8855609245029761,0.19206861292531113
0.1,0.5,160,0.99375,0.98125,1.0,1.0,1.0,1.0,0.9935897435897436,1.0,1.0,1.0,1.0,1.0,1.0,0.8926166316720259,0.8688953095072559,0.9152600391090321,0.8875481724905685,0.8649434093176213,0.9097211125952763,0.1354493479674876,0.12812291138322734,0.14219635037530323,0.9295036215816754,0.9125353310801173,0.9453788057235573,0.9184201062660721,0.900670827915324,0.9352302566885485,0.09184377410585111,0.08453330307552938,0.0991008410459948,0.9536171259842519,0.9500794777894503,0.8869891747187738,0.13042989821386247
0.15,0.05,160,0.83125,0.76875,0.8875,0.8125,0.75,0.86875,0.8309881175734835,0.9052532833020638,0.8565613447681705,0.9469803921568627,0.9074421513445904,0.8615170684270451,0.9469859577772025,0.3933785255202238,0.37164619459714276,0.4165327246503322,0.392272724412858,0.3702279868593791,0.41571079257552834,0.5121325475237558,0.48009730342949114,0.5430420661226192,0.6704918381555037,0.6509092281420463,0.6883676881520429,0.6370354159955932,0.6241831272099131,0.6500210389944285,0.2336655247681314,0.23078391127361,0.23633613401639741,0.47364665354330704,0.2603694867168276,0.8738073238480253,0.18509977083614454
0.15,0.1,160,0.83125,0.76875,0.8875,0.825,0.7625,0.88125,0.8306754221388368,0.9418386491557224,0.9071047362724994,0.9705842081319601,0.944027517198249,0.9099394828534751,0.9733716564823889,0.5166850797634988,0.49085281233082734,0.5449466211251495,0.5118222206243177,0.48891381855619953,0.5383470876369932,0.36457846409160666,0.3413397266719353,0.38889420522812307,0.6939866374133311,0.6737628063692241,0.713614910298637,0.6583336048991284,0.6442622407772254,0.6731219741094783,0.21989234321929851,0.2155417919943217,0.22433156549482894,0.6083661417322835,0.49755000545235284,0.8390103491135175,0.13936602222181987
0.15,0.15,160,0.85625,0.8,0.90625,0.89375,0.84375,0.9375,0.8556910569105691,0.9535647279549718,0.9230754185573463,0.9770192519381673,0.9662288930581614,0.9403024723609781,0.9860976025306688,0.5887389024844651,0.5625938617718033,0.6167561550154885,0.5828013901479353,0.5570875981752375,0.6089420958891602,0.29435868524417164,0.2774134410655379,0.3099857211865087,0.7214385449776826,0.7008901723538183,0.741340887722463,0.6846508427140239,0.667751071303574,0.7001335166734585,0.2063882086260941,0.20074689058459916,0.21235602810938864,0.678826279527559,0.648958818600102,0.8678589558302229,0.13204928880633918
0.15,0.2,160,0.925,0.88125,0.9625,0.925,0.88125,0.9625,0.9246404002501563,0.9776422764227642,0.9564962215574533,0.9934282584884995,0.9826454033771107,0.9655733561423394,0.994523655769248,0.6388623014268765,0.6125862576994906,0.6647539237579616,0.6329219140700953,0.6077288849390455,0.657797478181941,0.25450085821624313,0.2418831712069276,0.26722060135808745,0.7377350261887189,0.7153731187276132,0.7588388839306486,0.7047882977632627,0.6858563593296034,0.724296220867199,0.19175902557264532,0.18495132270019649,0.19816965334631734,0.7327386811023622,0.7163584652122397,0.8794367923654557,0.13451296913693295
0.15,0.3,160,0.95625,0.91875,0.9814062499999991,0.95625,0.91875,0.9875,0.956066291432145,0.9954659161976235,0.9888422620889917,0.9995311785777075,0.9968730456535334,0.9918635581286184,0.9998421717171717,0.722189355920394,0.6968213171684516,0.7483374452388594,0.7193578171623318,0.694203935684751,0.745798879781386,0.19694164511909557,0.18812032659844116,0.20572378513680267,0.8030923936476512,0.7817568285364322,0.8237469151563982,0.7748705628824497,0.7537284149741369,0.7956056770042874,0.16014965585554256,0.15277836035268505,0.16774315815858987,0.8337352362204726,0.8281281031627754,0.8855609245029761,0.15102078485906228
0.15,0.5,160,1.0,1.0,1.0,0.99375,0.98125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.812964508268664,0.7868511917158665,0.839035749182929,0.8111226440368029,0.7860042750468397,0.8386588440176892,0.14875039584508915,0.1405762036708731,0.15627433835138574,0.9091783722475361,0.8889728325476874,0.9271875113028752,0.8980279259795999,0.8786472161942093,0.9168808222702156,0.11028213173548891,0.10409397743281747,0.11697119501864212,0.933021653543307,0.9337689070321484,0.8878803364222406,0.10370240269279643
