trial_id,outcome,correct,true_correction_rate,realized_correction_map_mean,realized_correction_map_sd,estimated_correction_rate,raw_correction_rate,sampled_k_error,realized_mean_k_error,true_coupling,estimated_coupling,raw_coupling,coupling_error,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,any_coefficient_boundary_hit,macro_dice,macro_dice_nonempty_classes,nrmse
45,1,True,1.0900881408606344,1.0908947725194942,0.20444016718212457,1.180709747971947,1.180709747971947,0.09062160711131262,0.08981497545245287,0.07907628173694038,0.0,-0.4404141006623501,-0.07907628173694038,False,False,True,False,True,0.8263247863247862,0.7394871794871795,0.20458025566754232
46,0,True,0.7089926054995672,0.7056998931874452,0.11550173185093902,0.08,-0.14445003321821973,-0.6289926054995673,-0.6256998931874452,0.14718974977157362,0.5128912463524401,0.5128912463524401,0.3657014965808665,True,False,False,False,True,0.9803467418374251,0.9803467418374251,0.15375858552008972
47,0,True,1.0721471004790963,1.06773368435075,0.11548304727373401,0.08,-0.48054848064608496,-0.9921471004790964,-0.9877336843507499,0.08697457846024086,0.6,0.9689953640715151,0.5130254215397592,True,False,False,True,True,0.9764146753351803,0.9764146753351803,0.15914135764702333
48,0,True,1.0432829789105873,1.0381059262346575,0.22835264499360422,0.08,0.05075386832991107,-0.9632829789105873,-0.9581059262346575,0.2230175009265963,0.5631732138567621,0.5631732138567621,0.3401557129301658,True,False,False,False,True,0.6228279309788743,0.6228279309788743,0.22720365148737864
49,0,True,0.9366990895495939,0.9394280030533236,0.16416433296315858,0.08,-0.24131986399140454,-0.856699089549594,-0.8594280030533237,0.15724368761686175,0.6,0.6766024951654102,0.44275631238313823,True,False,False,True,True,0.9725988319142628,0.9725988319142628,0.1644388753575797
50,0,True,0.9203605161858295,0.9214897010378955,0.11133461239579757,0.08,-0.005789064325979891,-0.8403605161858295,-0.8414897010378956,0.21105132227594095,0.43520605424463804,0.43520605424463804,0.2241547319686971,True,False,False,False,True,0.984070833074743,0.984070833074743,0.11952276925154515
51,1,True,1.0879231079969731,1.0886862540672384,0.21077850034282145,0.08,-0.6614505766842658,-1.007923107996973,-1.0086862540672383,0.227906043741552,0.6,0.9818122953084456,0.372093956258448,True,False,False,True,True,0.9908007797089414,0.9862011695634121,0.11231263048433224
52,1,True,1.143702171083797,1.1478217977220613,0.1257931893642834,0.09395978137685283,0.09395978137685283,-1.049742389706944,-1.0538620163452084,0.10067219081345376,0.5418572168829674,0.5418572168829674,0.44118502606951365,False,False,False,False,False,0.6489461358313817,0.6489461358313817,0.10266552324132092
53,1,True,0.6031196152864442,0.6047019090568414,0.058017158125471466,0.08,-0.32121455790929226,-0.5231196152864442,-0.5247019090568414,0.22583722203330636,0.6,0.6269103014122912,0.3741627779666936,True,False,False,True,True,0.9868715531366133,0.9803073297049201,0.14274913885713172
54,1,True,0.6166958098110689,0.6170947581796259,0.09958860050713327,0.08,-0.02324939753813823,-0.5366958098110689,-0.5370947581796259,0.0657969202331261,0.3625858160914792,0.3625858160914792,0.2967888958583531,True,False,False,False,True,0.5727077720248495,0.5727077720248495,0.1494448336235441
55,0,True,0.9746832671295694,0.9779435368659921,0.08882945792532804,0.08,-0.6229720179614878,-0.8946832671295695,-0.8979435368659922,0.19628814997384317,0.6,1.1468496604271154,0.40371185002615684,True,False,False,True,True,0.7613801329512561,0.7613801329512561,0.18597750095881008
56,1,True,0.6817299750795618,0.6778316947837182,0.09260848567538395,0.4532328842725078,0.4532328842725078,-0.228497090807054,-0.2245988105112104,0.15262139524255047,0.045622785251624776,0.045622785251624776,-0.1069986099909257,False,False,False,False,False,1.0,1.0,0.03415375861845814
