trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector,scenario,scenario_seed,forward_model,separation_scale
69,0,0,0.4620056123444796,0.037994387655520385,0.5377606276926915,0.562992125984252,1.110591393261661,0.1429221428807025,2.362459737119093,0.15572858264761358,0.012459929826863581,0.10619016921056547,1.1096590705613767,0.11718427042436792,0.8026914915428855,1.459407168683031,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
70,0,0,0.3953207915312616,0.1046792084687384,0.2934281221363674,0.2952755905511811,0.6153062696708721,0.25199238803118695,2.7807882408741746,0.33730233412124266,0.006904460362488023,0.10036339082464876,0.6133076672806814,0.06145059664767187,0.430427585364719,0.8126309156453997,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
71,1,1,0.5175235233206452,0.017523523320645235,0.5690032097326578,0.594488188976378,0.7083732624086762,0.2522684088460056,1.9570984575926877,0.18758759007244696,0.011115766370206248,0.2560472939020051,0.7112080641270296,0.18030162111201398,0.17709331560216904,1.3133927324354469,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
72,0,0,0.4636537087407699,0.03634629125923013,0.38867861318413927,0.40551181102362205,1.1609364056075262,0.24459540811831718,1.5098943057225487,0.12932395838195165,0.01148155543143154,0.11592824449959938,1.1669976916540292,0.13111283181124644,0.7830557880374702,1.513801786892699,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
73,0,0,0.32001214290323254,0.17998785709676748,0.4836235077204962,0.5,0.9403600037343489,0.12982119681130527,2.3304976338719774,0.32705429489518256,0.01047060613632285,0.2455472824686377,0.9479855673172414,0.2209774971919509,0.36653529012308184,1.5897220411814803,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
74,0,0,0.3569100576183376,0.14308994238166242,0.4420187244946182,0.468503937007874,0.8735361025499756,0.17779497070094896,3.0933974671605036,0.21854828953693523,0.007893122121785012,0.12842926673203242,0.8765669430220956,0.10945685794589718,0.5002431073776719,1.17134680641964,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
75,0,0,0.37368860601893195,0.12631139398106803,0.478320626237729,0.5,0.8126787308412129,0.1974589450694626,2.9839958766098214,0.14726302192292987,0.010021400710766364,0.13772022693258212,0.8128319167504625,0.10836117600071533,0.5135236562717284,1.1642112065571697,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
76,0,1,0.4921923327183238,0.007807667281676217,0.25576744642287225,0.2677165354330709,0.7788599688030845,0.1966894658236527,3.1840284551635234,0.21504864020917208,0.012100447880253213,0.2531949458712429,0.7848412559530309,0.20531842244330606,0.19471499220077113,1.3303529987553375,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
77,0,0,0.4686599560202854,0.03134004397971461,0.3046776316649442,0.3228346456692913,1.2461243948062206,0.1444122915022291,1.7092711911961511,0.2969472269268226,0.008609108016229695,0.17711017336866341,1.258180848465167,0.21721634726525524,0.6648481306169396,1.8958196751045342,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
78,1,1,0.5611793521638312,0.06117935216383114,0.5582230122484265,0.562992125984252,0.7878883761906381,0.05603483552588683,1.8987930810689835,0.3119113099387072,0.01037538210212163,0.10458506827733388,0.7933686509129196,0.08297769332588228,0.5828380667790996,1.0280997922239439,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
79,1,0,0.505866840152146,0.00586684015214597,0.38446139654940903,0.40551181102362205,0.7339825440496337,0.11747687577977275,2.2717188261964427,0.13907937506581022,0.004673929472010215,0.24600373895288433,0.7250858907891837,0.17959191580243675,0.18349563601240843,1.212521945121693,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
80,1,1,0.7470456510608857,0.24704565106088572,0.47182483186551194,0.5,0.8588182866881333,0.25892141289696996,2.815811998898229,0.1212816752818923,0.004492448748529436,0.25167080101343275,0.8639466561554645,0.21423470652553855,0.21470457167203333,1.6122441923888482,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
81,0,0,0.494356613329037,0.005643386670963002,0.2632924573109704,0.2677165354330709,0.678064255524819,0.0800524136372782,3.070118892041079,0.30893822009084754,0.007238523628606727,0.23303926282351506,0.6822558402015277,0.15635339852372046,0.19955562520715214,1.1363655801421524,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
82,1,1,0.5561908336375381,0.05619083363753804,0.5197112379459634,0.531496062992126,0.741736741049947,0.20677546177325914,2.5735065650258635,0.174820797511604,0.007487699525877873,0.20415541874970064,0.7463459314427217,0.1489291318885931,0.27554334757424326,1.1957969851875863,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
83,0,0,0.4014035077739733,0.09859649222602669,0.5249301247911229,0.531496062992126,0.6340364444867264,0.08963168372943767,2.67565795372048,0.16014918950862328,0.012105122919121098,0.2089282543318569,0.6242409346069273,0.1410404510461308,0.19127753467883526,1.057544317595843,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
84,0,1,0.43726476354617766,0.06273523645382233,0.39395038683501277,0.40551181102362205,1.070069362144042,0.1776802815779155,2.941197065236337,0.2738921237299892,0.008405487334098698,0.21502846366937622,1.073950585338315,0.23713939350612873,0.27787886011746565,1.9220594534474649,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
85,0,0,0.49357054429883807,0.006429455701161938,0.23010521262540193,0.24015748031496062,0.5777689417102008,0.14177468937339538,1.6277017423844806,0.21621567293731697,0.004062139290078589,0.2596885589777951,0.5846581919896247,0.1573402266348674,0.1444422354275502,1.027593982443634,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
86,0,0,0.4752862767867528,0.0247137232132472,0.4364354159694134,0.43700787401574803,0.5923646166887042,0.17643259359875488,2.9437364400194204,0.23164741336937542,0.0054839321659522055,0.11108237168719133,0.5874290439520483,0.06431546457597594,0.43052036969345747,0.7778775160740252,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
87,0,1,0.4922441979005623,0.007755802099437727,0.4265479157016325,0.43700787401574803,0.7622512952363089,0.23485704254380882,3.1254787866125904,0.23864779876682563,0.010637297449262128,0.11783147035434849,0.7599537543647152,0.09014723299636758,0.43870891844092746,1.0072533571722142,1.0,0.0,0.0,1.0,shifted_holdout,20360721,linear_isotropic,1.0
88,0,0,0.4057363734157671,0.09426362658423289,0.2791239513374238,0.2952755905511811,0.6219553354228383,0.1228903148438791,1.5105172351226634,0.3046419754827843,0.007972448872506902,0.10764787137289539,0.6239836024270874,0.06583231509934764,0.44067487271269107,0.8350140185736858,1.0,0.0,0.0,0.0,shifted_holdout,20360721,linear_isotropic,1.0
