trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector
40,0,1,0.47653899524759946,0.02346100475240055,0.23791870846889768,0.24015748031496062,0.6080174888562264,0.20651307030054292,2.974234296817638,0.2530700678246163,0.011490570261649083,0.2112440908355226,0.606909022468259,0.1259980103632347,0.2020906229426495,0.9423667365693413,1.0,0.0,0.0,1.0
41,1,1,0.8258271762429009,0.3258271762429009,0.47225350185674325,0.5,0.8945057331369841,0.11327901843976726,1.5377128958078559,0.15145422459535282,0.010024082503982203,0.10191592429178503,0.8972655274039515,0.08961282199395507,0.6281504542615852,1.16150665811812,1.0,0.0,0.0,1.0
42,0,0,0.4826229437962995,0.017377056203700496,0.19949770567245834,0.2125984251968504,1.0994267835099314,0.15392244014558498,2.854343901792472,0.15997961552031414,0.008546729617990483,0.0944435697280046,1.1019456137978878,0.10471689785204527,0.7910293539246483,1.465210685879088,1.0,0.0,0.0,0.0
43,1,1,0.6350224823352444,0.13502248233524433,0.5309065782360742,0.531496062992126,0.779708249334427,0.22292843827154699,2.9137397791672015,0.23420681009372116,0.01113893241007698,0.21057483578494035,0.7859632636993038,0.1611456836597344,0.3001836624031556,1.2513033534773292,1.0,0.0,0.0,1.0
44,1,1,0.6310922008267168,0.13109220082671674,0.5315436335280491,0.531496062992126,0.6569144525279944,0.17565535006077204,1.631858815367206,0.2481139806654038,0.01131227868264666,0.1442279546519423,0.6517644376084228,0.09273405464594894,0.3784806673247256,0.9250689648167857,1.0,0.0,0.0,1.0
45,1,1,0.5839312168476611,0.08393121684766108,0.4098877009179711,0.43700787401574803,1.0900881408606344,0.07907628173694038,2.547359000979993,0.18836231772817918,0.008056101340323706,0.18647507880488678,1.0908947725194942,0.20444016718212457,0.35150608821518337,1.7744849007832753,1.0,0.0,0.0,1.0
46,0,0,0.43039031500939867,0.06960968499060131,0.24333151572434275,0.2677165354330709,0.7089926054995672,0.14718974977157362,1.9304884485136342,0.2312035484158239,0.0035740414435675933,0.1657987066824228,0.7056998931874452,0.11550173185093902,0.3615425858154686,1.1855820736188567,1.0,0.0,0.0,0.0
47,0,0,0.4414356739254904,0.05856432607450962,0.300960235012687,0.3228346456692913,1.0721471004790963,0.08697457846024086,2.0767120109473884,0.284377637523587,0.0053359855991944,0.11253942119563728,1.06773368435075,0.11548304727373401,0.6514080653073134,1.4499931605018435,1.0,0.0,0.0,0.0
48,1,0,0.5362043532919671,0.0362043532919671,0.45746816476183927,0.468503937007874,1.0432829789105873,0.2230175009265963,2.353175495495795,0.25333758544963286,0.009826810043459599,0.21796565102154342,1.0381059262346575,0.22835264499360422,0.36368842485206365,1.7587591756735046,1.0,0.0,0.0,0.0
49,0,0,0.43930514489562617,0.06069485510437382,0.35604512681100264,0.3779527559055118,0.9366990895495939,0.15724368761686175,2.2434795645323646,0.1875642731216832,0.008310173309076045,0.19253748456897352,0.9394280030533236,0.16416433296315858,0.5177739091977344,1.4221068495788558,1.0,0.0,0.0,0.0
