measurement_noise,observation_fraction,metric,n_pairs,movie_mean,same_time_snapshot_mean,paired_effect_movie_minus_snapshot,paired_effect_ci_low,paired_effect_ci_high,two_sided_p,holm_p_within_metric_30_cells
0.1,0.3,auroc,160,0.9948405253283302,0.9962476547842402,-0.0014071294559099279,-0.004893089352657678,0.0009428032683845844,0.5888527868032992,1.0
0.1,0.5,accuracy,160,0.99375,1.0,-0.00625,-0.01875,0.0,1.0,1.0
0.1,0.5,macro_dice,160,0.8926166316720259,0.9295036215816754,-0.03688698990964963,-0.06121019767261774,-0.014670018643916156,0.011342964748329291,0.1247726122316222
0.1,0.5,nrmse,160,0.1354493479674876,0.09184377410585111,0.04360557386163649,0.03524081940948945,0.05170049012768125,2.8704198648355854e-15,6.314923702638288e-14
0.1,0.5,auroc,160,1.0,1.0,0.0,0.0,0.0,1.0,1.0
0.15,0.05,accuracy,160,0.83125,0.8125,0.01875,-0.04375,0.075,0.6776394844055176,1.0
0.15,0.05,macro_dice,160,0.3933785255202238,0.6704918381555037,-0.27711331263527994,-0.3100496402587681,-0.245024612776798,3.5143273551162553e-25,1.0542982065348766e-23
0.15,0.05,nrmse,160,0.5121325475237558,0.2336655247681314,0.2784670227556244,0.24855623782978917,0.30806825762800394,1.513972926731202e-26,4.541918780193606e-25
0.15,0.05,auroc,160,0.9052532833020638,0.9074421513445904,-0.002188868042526604,-0.0357446336579687,0.030203362885015368,0.9380154961259685,1.0
0.15,0.1,accuracy,160,0.83125,0.825,0.00625,-0.03125,0.04375,1.0,1.0
0.15,0.1,macro_dice,160,0.5166850797634988,0.6939866374133311,-0.1773015576498323,-0.20747257994138257,-0.14667981304513955,1.1057330771494808e-17,3.0960526160185462e-16
0.15,0.1,nrmse,160,0.36457846409160666,0.21989234321929851,0.14468612087230817,0.12324479860696752,0.16622984444821254,5.576763385302636e-18,1.561493747884738e-16
0.15,0.1,auroc,160,0.9418386491557224,0.944027517198249,-0.002188868042526604,-0.017510944340212612,0.012664412798485646,0.8985253686578355,1.0
0.15,0.15,accuracy,160,0.85625,0.89375,-0.0375,-0.06875,-0.0125,0.03125,0.9375
0.15,0.15,macro_dice,160,0.5887389024844651,0.7214385449776826,-0.13269964249321733,-0.1624167212399872,-0.1025041001005947,1.691927883458101e-10,4.0606269202994425e-09
0.15,0.15,nrmse,160,0.29435868524417164,0.2063882086260941,0.08797047661807753,0.07386812308644125,0.10181146302976103,1.403963911698679e-16,3.3695133880768297e-15
0.15,0.15,auroc,160,0.9535647279549718,0.9662288930581614,-0.012664165103189573,-0.024221124387254857,-0.003481563538534571,0.3784053986503374,1.0
0.15,0.2,accuracy,160,0.925,0.925,0.0,-0.025,0.025,1.0,1.0
0.15,0.2,macro_dice,160,0.6388623014268765,0.7377350261887189,-0.09887272476184246,-0.12889863015973832,-0.06909737204483396,1.7678206340972516e-05,0.00037124233316042284
0.15,0.2,nrmse,160,0.25450085821624313,0.19175902557264532,0.06274183264359783,0.0521767089605833,0.07299897162356682,6.189976569141492e-18,1.671293673668203e-16
0.15,0.2,auroc,160,0.9776422764227642,0.9826454033771107,-0.00500312695434646,-0.012912257987646005,0.0007843476171110171,0.6525868532866783,1.0
0.15,0.3,accuracy,160,0.95625,0.95625,0.0,-0.01875,0.01875,1.0,1.0
0.15,0.3,macro_dice,160,0.722189355920394,0.8030923936476512,-0.0809030377272572,-0.11176829595223538,-0.05227949780681455,0.0002364790298280709,0.004020143507077205
0.15,0.3,nrmse,160,0.19694164511909557,0.16014965585554256,0.036791989263553,0.029565312916885654,0.04423234490680828,9.196476858560838e-15,1.8392953717121675e-13
0.15,0.3,auroc,160,0.9954659161976235,0.9968730456535334,-0.0014071294559099279,-0.004068332454905061,0.0003129400719762421,0.6638340414896275,1.0
0.15,0.5,accuracy,160,1.0,0.99375,0.00625,0.0,0.01875,1.0,1.0
0.15,0.5,macro_dice,160,0.812964508268664,0.9091783722475361,-0.09621386397887197,-0.12364638205650737,-0.06839590421536897,2.869807603079988e-06,6.313576726775974e-05
0.15,0.5,nrmse,160,0.14875039584508915,0.11028213173548891,0.03846826410960021,0.03030300736908306,0.04632898816125173,5.069002729609796e-14,9.631105186258613e-13
0.15,0.5,auroc,160,1.0,1.0,0.0,0.0,0.0,1.0,1.0
