trial_id,measurement_noise,outcome,distance_from_separatrix,earliest_stable_fraction,confidence_margin
49,0.05,0,0.06069485510437382,0.1,0.15
49,0.1,0,0.06069485510437382,0.1,0.15
49,0.15,0,0.06069485510437382,0.1,0.15
50,0.0,0,0.007876221514765625,0.1,0.15
50,0.02,0,0.007876221514765625,0.1,0.15
50,0.05,0,0.007876221514765625,0.1,0.15
50,0.1,0,0.007876221514765625,0.1,0.15
50,0.15,0,0.007876221514765625,0.1,0.15
51,0.0,1,0.009893394796649043,0.2,0.15
51,0.02,1,0.009893394796649043,0.2,0.15
51,0.05,1,0.009893394796649043,0.2,0.15
51,0.1,1,0.009893394796649043,0.15,0.15
51,0.15,1,0.009893394796649043,0.15,0.15
52,0.0,1,0.011794103394955159,0.3,0.15
52,0.02,1,0.011794103394955159,0.3,0.15
52,0.05,1,0.011794103394955159,0.3,0.15
52,0.1,1,0.011794103394955159,0.2,0.15
52,0.15,1,0.011794103394955159,0.05,0.15
53,0.0,1,0.035390255932869694,0.05,0.15
53,0.02,1,0.035390255932869694,0.05,0.15
53,0.05,1,0.035390255932869694,0.05,0.15
53,0.1,1,0.035390255932869694,0.05,0.15
53,0.15,1,0.035390255932869694,0.1,0.15
54,0.0,1,0.04237223252962664,0.1,0.15
54,0.02,1,0.04237223252962664,0.1,0.15
54,0.05,1,0.04237223252962664,0.15,0.15
54,0.1,1,0.04237223252962664,0.15,0.15
54,0.15,1,0.04237223252962664,0.3,0.15
55,0.0,0,0.00701658524744748,0.3,0.15
55,0.02,0,0.00701658524744748,0.3,0.15
55,0.05,0,0.00701658524744748,0.3,0.15
55,0.1,0,0.00701658524744748,0.3,0.15
55,0.15,0,0.00701658524744748,0.3,0.15
56,0.0,1,0.32840212792055806,0.05,0.15
56,0.02,1,0.32840212792055806,0.05,0.15
56,0.05,1,0.32840212792055806,0.05,0.15
56,0.1,1,0.32840212792055806,0.05,0.15
56,0.15,1,0.32840212792055806,0.05,0.15
57,0.0,0,0.009494686724429848,0.05,0.15
57,0.02,0,0.009494686724429848,0.05,0.15
57,0.05,0,0.009494686724429848,0.05,0.15
57,0.1,0,0.009494686724429848,0.1,0.15
57,0.15,0,0.009494686724429848,0.1,0.15
58,0.0,1,0.08598274708336967,0.2,0.15
58,0.02,1,0.08598274708336967,0.2,0.15
58,0.05,1,0.08598274708336967,0.2,0.15
58,0.1,1,0.08598274708336967,0.05,0.15
58,0.15,1,0.08598274708336967,0.15,0.15
59,0.0,1,0.045398638513570205,,0.15
59,0.02,1,0.045398638513570205,,0.15
59,0.05,1,0.045398638513570205,,0.15
59,0.1,1,0.045398638513570205,,0.15
59,0.15,1,0.045398638513570205,,0.15
60,0.0,1,0.05034588173179345,0.15,0.15
60,0.02,1,0.05034588173179345,0.1,0.15
60,0.05,1,0.05034588173179345,0.05,0.15
60,0.1,1,0.05034588173179345,0.15,0.15
60,0.15,1,0.05034588173179345,0.05,0.15
61,0.0,1,0.02184988283497939,0.15,0.15
61,0.02,1,0.02184988283497939,0.15,0.15
61,0.05,1,0.02184988283497939,0.15,0.15
61,0.1,1,0.02184988283497939,0.15,0.15
61,0.15,1,0.02184988283497939,0.15,0.15
62,0.0,0,0.06273175666100894,0.5,0.15
62,0.02,0,0.06273175666100894,0.5,0.15
62,0.05,0,0.06273175666100894,0.5,0.15
62,0.1,0,0.06273175666100894,0.5,0.15
62,0.15,0,0.06273175666100894,0.5,0.15
63,0.0,0,0.314914303329855,0.05,0.15
63,0.02,0,0.314914303329855,0.05,0.15
63,0.05,0,0.314914303329855,0.05,0.15
63,0.1,0,0.314914303329855,0.05,0.15
63,0.15,0,0.314914303329855,0.05,0.15
64,0.0,1,0.13119994481914315,0.05,0.15
64,0.02,1,0.13119994481914315,0.1,0.15
64,0.05,1,0.13119994481914315,0.05,0.15
64,0.1,1,0.13119994481914315,0.05,0.15
64,0.15,1,0.13119994481914315,0.05,0.15
65,0.0,1,0.20150074171928972,0.05,0.15
65,0.02,1,0.20150074171928972,0.05,0.15
65,0.05,1,0.20150074171928972,0.05,0.15
65,0.1,1,0.20150074171928972,0.05,0.15
65,0.15,1,0.20150074171928972,0.05,0.15
66,0.0,1,0.13730250756785942,0.05,0.15
66,0.02,1,0.13730250756785942,0.05,0.15
66,0.05,1,0.13730250756785942,0.05,0.15
66,0.1,1,0.13730250756785942,0.05,0.15
66,0.15,1,0.13730250756785942,0.05,0.15
67,0.0,1,0.014850995166809336,0.2,0.15
67,0.02,1,0.014850995166809336,0.2,0.15
67,0.05,1,0.014850995166809336,0.2,0.15
67,0.1,1,0.014850995166809336,0.2,0.15
67,0.15,1,0.014850995166809336,0.2,0.15
68,0.0,1,0.03459951950616934,0.2,0.15
68,0.02,1,0.03459951950616934,0.2,0.15
68,0.05,1,0.03459951950616934,0.2,0.15
68,0.1,1,0.03459951950616934,0.2,0.15
68,0.15,1,0.03459951950616934,0.1,0.15
69,0.0,0,0.11295150954197332,0.3,0.15
69,0.02,0,0.11295150954197332,0.3,0.15
69,0.05,0,0.11295150954197332,0.3,0.15
69,0.1,0,0.11295150954197332,0.3,0.15
69,0.15,0,0.11295150954197332,0.3,0.15
70,0.0,0,0.01721037959694625,0.3,0.15
70,0.02,0,0.01721037959694625,0.3,0.15
70,0.05,0,0.01721037959694625,0.3,0.15
70,0.1,0,0.01721037959694625,0.3,0.15
70,0.15,0,0.01721037959694625,0.2,0.15
71,0.0,1,0.014872236178216019,0.15,0.15
71,0.02,1,0.014872236178216019,0.15,0.15
71,0.05,1,0.014872236178216019,0.15,0.15
71,0.1,1,0.014872236178216019,0.15,0.15
71,0.15,1,0.014872236178216019,0.15,0.15
72,0.0,1,0.055513538343048834,0.3,0.15
72,0.02,1,0.055513538343048834,0.3,0.15
72,0.05,1,0.055513538343048834,0.3,0.15
72,0.1,1,0.055513538343048834,0.1,0.15
72,0.15,1,0.055513538343048834,0.3,0.15
73,0.0,0,0.008909989542864637,0.5,0.15
73,0.02,0,0.008909989542864637,0.5,0.15
73,0.05,0,0.008909989542864637,0.5,0.15
73,0.1,0,0.008909989542864637,0.5,0.15
73,0.15,0,0.008909989542864637,0.5,0.15
74,0.0,0,0.005584233380284169,,0.15
74,0.02,0,0.005584233380284169,,0.15
74,0.05,0,0.005584233380284169,,0.15
74,0.1,0,0.005584233380284169,,0.15
74,0.15,0,0.005584233380284169,,0.15
75,0.0,1,0.011437949008130891,0.05,0.15
75,0.02,1,0.011437949008130891,0.05,0.15
75,0.05,1,0.011437949008130891,0.05,0.15
75,0.1,1,0.011437949008130891,0.05,0.15
